date,trigger_value,threshold,time_trigger,days_since_rebalance_trade,confirmation_days,execution_month_rebalance_count_before
2013-04-18,1.0,0.1,False,67,1,0
2013-04-26,0.12375191556283213,0.1,False,5,1,0
2017-08-24,0.39999999999999997,0.1,False,1054,1,0
2017-10-09,0.12223878620508637,0.1,False,26,1,0
2018-03-01,0.2916774910584123,0.1,False,96,1,0
2018-08-17,0.24206112330439522,0.1,False,115,1,0
2018-08-31,0.23529411764705885,0.1,False,9,1,0
2018-09-28,0.29067125886627954,0.1,False,18,1,0
2018-11-01,0.2876350295173236,0.1,False,18,1,0
2019-01-18,0.4162866714151723,0.1,False,53,1,0
2019-03-01,0.3634582838343034,0.1,False,24,1,0
2019-04-01,0.1262862557436844,0.1,False,20,1,0
2019-05-06,0.26487535654322136,0.1,False,20,1,0
2019-06-03,0.15443346029542007,0.1,False,19,1,0
2019-07-01,0.3468583856113686,0.1,False,18,1,0
2019-08-01,0.26845115971585004,0.1,False,22,1,0
2019-09-02,0.276563331019488,0.1,False,21,1,0
2019-10-08,0.1314701463129801,0.1,False,19,1,0
2019-12-02,0.38589468330644416,0.1,False,38,1,0
2020-01-02,0.351801187312338,0.1,False,21,1,0
2020-02-03,0.3528008425697099,0.1,False,15,1,0
2020-03-02,0.3625853579469248,0.1,False,19,1,0
2020-04-01,0.3397916992484708,0.1,False,21,1,0
2020-05-06,0.3468601927511181,0.1,False,20,1,0
2020-06-01,0.1337077675305901,0.1,False,17,1,0
2020-09-25,0.15518007961022395,0.1,False,81,1,0
2020-10-09,0.29543023888640213,0.1,False,3,1,0
2020-11-02,0.31063052272162817,0.1,False,15,1,0
2021-01-04,0.2864199088879503,0.1,False,43,1,0
2021-02-01,0.20586884321844334,0.1,False,19,1,0
2021-03-01,0.3811147993807799,0.1,False,14,1,0
2021-04-01,0.18016687948668328,0.1,False,22,1,0
2021-07-01,0.23868718067416514,0.1,False,59,1,0
2021-08-02,0.20255276221063387,0.1,False,21,1,0
2021-09-01,0.3951668870926126,0.1,False,21,1,0
2021-10-22,0.1848910230657164,0.1,False,29,1,0
2021-10-29,0.18399014177670503,0.1,False,4,1,0
2021-11-30,0.289357971010422,0.1,False,21,1,0
2022-01-04,0.26785860534435113,0.1,False,23,1,0
2022-03-01,0.2023450696892344,0.1,False,34,1,0
2022-04-01,0.19913921602958276,0.1,False,22,1,0
2022-05-05,0.29414634020169095,0.1,False,18,1,0
2022-06-01,0.298072124682937,0.1,False,18,1,0
2022-07-01,0.18070108566324813,0.1,False,20,1,0
2022-08-01,0.4154688152383618,0.1,False,20,1,0
2022-09-01,0.3466897637608129,0.1,False,22,1,0
2022-10-10,0.2501820976492936,0.1,False,20,1,0
2022-11-01,0.2049996880234999,0.1,False,15,1,0
2022-12-01,0.4294387987446589,0.1,False,21,1,0
2023-01-03,0.41584170078059535,0.1,False,21,1,0
2023-02-01,0.38512518487543745,0.1,False,15,1,0
2023-03-01,0.19214356235104632,0.1,False,19,1,0
2023-04-03,0.3314852194518929,0.1,False,22,1,0
2023-05-04,0.35568955317794493,0.1,False,18,1,0
2023-06-01,0.3345300174861586,0.1,False,19,1,0
2023-08-01,0.3495048415102587,0.1,False,40,1,0
2023-09-01,0.3319932869287664,0.1,False,22,1,0
2023-10-09,0.4157618646445025,0.1,False,19,1,0
2023-11-01,0.4165927906171651,0.1,False,16,1,0
2023-12-01,0.38496180690064763,0.1,False,21,1,0
2024-01-02,0.3843101204126728,0.1,False,20,1,0
2024-03-01,0.3495438871479132,0.1,False,36,1,0
2024-04-01,0.19066393976065624,0.1,False,20,1,0
2024-05-06,0.19031771392350924,0.1,False,19,1,0
2024-07-01,0.32916941887891155,0.1,False,38,1,0
2024-09-02,0.1862010864972105,0.1,False,44,1,0
2024-10-08,0.30936775317234133,0.1,False,18,1,0
2024-11-01,0.18162620058827078,0.1,False,17,1,0
2024-12-02,0.3333140802444617,0.1,False,20,1,0
2025-03-03,0.29952865486671754,0.1,False,57,1,0
2025-04-01,0.18280600730592877,0.1,False,20,1,0
2025-05-06,0.3856391242470095,0.1,False,20,1,0
2025-06-03,0.38449764079765963,0.1,False,18,1,0
2025-07-01,0.1915832988895267,0.1,False,19,1,0
2025-08-01,0.2521150705138894,0.1,False,22,1,0
2025-09-01,0.2912736153607672,0.1,False,20,1,0
2025-10-09,0.2881405567679904,0.1,False,21,1,0
2025-11-03,0.25981702722416433,0.1,False,16,1,0
2025-12-01,0.19037251126800664,0.1,False,19,1,0
2026-01-05,0.28482982680893276,0.1,False,22,1,0
2026-02-02,0.20564398297579142,0.1,False,19,1,0
2026-03-02,0.3371054620106361,0.1,False,13,1,0
2026-04-01,0.19035533984463754,0.1,False,21,1,0
2026-05-06,0.386741593018034,0.1,False,20,1,0
2026-07-01,0.18409854008649684,0.1,False,38,1,0
2026-08-03,0.2658292455785977,0.1,False,22,1,0
