date,winner,diversifier,budget,winner_risk,winner_momentum20,winner_drawdown60
2014-01-14,159915.SZ,513100.SH,0.25,0.8529173274817372,0.09721115537848624,0.0
2014-01-15,159915.SZ,513100.SH,0.25,0.8342594130276445,0.12187247780468113,0.0
2014-01-16,159915.SZ,518880.SH,0.25,0.8248343623490868,0.1164495114006514,-0.013669064748201398
2014-01-17,159915.SZ,518880.SH,0.25,0.8324726708562001,0.10777957860615883,-0.016546762589928043
2014-01-20,159915.SZ,518880.SH,0.25,0.8777573536257828,0.0910569105691057,-0.0345323741007193
2014-01-21,159915.SZ,518880.SH,0.25,0.8995643811091814,0.13662551440329218,-0.006474820143884785
2014-01-22,159915.SZ,518880.SH,0.25,0.8567487855916524,0.1318770226537218,0.0
2014-01-23,159915.SZ,518880.SH,0.25,0.8995643811091814,0.13312202852614896,0.0
2014-01-24,159915.SZ,518880.SH,0.25,0.8466413898324853,0.168946098149638,0.0
2014-01-27,159915.SZ,518880.SH,0.25,0.8466413898324853,0.13511390416339375,-0.00550584996558845
2014-01-28,159915.SZ,518880.SH,0.25,0.835425331862467,0.12578124999999996,-0.008258774948382674
2014-01-29,159915.SZ,518880.SH,0.25,0.8695395787127795,0.150706436420722,0.0
2014-02-07,159915.SZ,518880.SH,0.25,0.8257881794451073,0.13056603773584907,0.0
2014-02-11,159915.SZ,518880.SH,0.25,0.8003752812620113,0.12688821752265844,-0.0158311345646438
2014-02-12,159915.SZ,518880.SH,0.25,0.8231181124955529,0.09527272727272718,-0.006596306068601621
2014-02-13,159915.SZ,518880.SH,0.25,0.8231181124955529,0.07566765578635004,-0.04353562005277045
2014-02-17,159915.SZ,518880.SH,0.25,0.8156807836859402,0.13847305389221543,0.0
2014-02-18,159915.SZ,518880.SH,0.25,0.8043093680691694,0.09440813362381983,-0.009204470742932291
2014-06-13,159915.SZ,513100.SH,0.25,0.8311805297618037,0.10384300899427634,-0.06509695290858719
2014-06-16,159915.SZ,513100.SH,0.25,0.8311805297618037,0.13394342762063238,-0.04484933426769455
2014-09-01,159915.SZ,513100.SH,0.25,0.8063405036177581,0.09083910700538889,-0.00839748075577329
2014-09-11,159915.SZ,513100.SH,0.25,0.8136224747806182,0.08962962962962973,0.0
2014-09-12,159915.SZ,513100.SH,0.25,0.8145582785307613,0.10178306092124823,0.0
2014-09-15,159915.SZ,510300.SH,0.25,0.837301109764303,0.09044117647058814,0.0
2014-12-30,510300.SH,513100.SH,0.25,0.8341849055671942,0.17329737019554958,-0.004861309694023319
2014-12-31,510300.SH,518880.SH,0.25,0.8569277368007359,0.19212808539026005,0.0
2015-01-05,510300.SH,518880.SH,0.25,0.8559919330505926,0.15974842767295594,0.0
2015-02-16,159915.SZ,513100.SH,0.25,0.8428099317225701,0.15896136795440152,0.0
2015-05-06,159915.SZ,513100.SH,0.25,0.9289640950489451,0.12305168170631653,-0.003639010189228631
2015-05-07,159915.SZ,513100.SH,0.25,0.854704319630658,0.1299957930164073,-0.022561863173216956
2015-05-08,159915.SZ,513100.SH,0.25,0.8888185664809705,0.17356042173560415,0.0
2015-08-04,159915.SZ,513100.SH,0.25,0.9233140297100396,0.1645207439198857,-0.3556728232189973
2015-09-28,159915.SZ,518880.SH,0.25,0.9306803449024789,0.09883398112159925,-0.2982269503546099
2015-10-13,159915.SZ,518880.SH,0.25,0.9297445411523357,0.17902542372881358,-0.21063829787234034
2015-10-14,159915.SZ,518880.SH,0.25,0.8842588786852523,0.12300566134843027,-0.226241134751773
2015-11-02,159915.SZ,513100.SH,0.25,0.8016259707072093,0.1677614957049014,-0.11861174675819985
2015-11-09,159915.SZ,513100.SH,0.25,0.8331411642251408,0.1635135135135135,-0.014874141876430103
2015-11-10,159915.SZ,513100.SH,0.25,0.8029610041819865,0.17205750224618144,-0.0049580472921433305
2015-11-16,159915.SZ,513100.SH,0.25,0.8331411642251408,0.16390584132519614,-0.003731343283582156
2015-11-17,159915.SZ,513100.SH,0.25,0.8103983329915991,0.0744458385612714,-0.04141791044776122
2015-11-18,159915.SZ,513100.SH,0.25,0.8204347151335928,0.1333333333333333,-0.06119402985074629
2015-11-19,159915.SZ,513100.SH,0.25,0.8431775463671345,0.11754684838160157,-0.020895522388059695
2015-11-20,159915.SZ,513100.SH,0.25,0.8103983329915991,0.08982282653481666,-0.013059701492537323
2015-11-23,159915.SZ,513100.SH,0.25,0.8204347151335928,0.09216013344453722,-0.022761194029850773
2015-11-24,159915.SZ,513100.SH,0.25,0.8659203776006762,0.08960720130932898,-0.006343283582089687
2015-11-25,159915.SZ,510300.SH,0.25,0.8431775463671345,0.16355932203389845,0.0
2015-11-26,159915.SZ,510300.SH,0.25,0.8204347151335928,0.13690476190476186,-0.0262199563000729
2015-11-27,159915.SZ,513100.SH,0.25,0.8204347151335928,0.06257982120051087,-0.09104151493080848
2015-12-03,159915.SZ,513100.SH,0.25,0.8256328217983547,0.04830126893164133,-0.06737072104879827
2016-03-28,159915.SZ,513100.SH,0.25,0.8613606898049581,0.17118644067796596,-0.20422264875239926
2016-03-29,159915.SZ,513100.SH,0.25,0.842622958995748,0.11787280701754388,-0.21727447216890594
2016-03-30,159915.SZ,513100.SH,0.25,0.8767372058460605,0.11610878661087876,-0.18080614203454903
2016-03-31,159915.SZ,513100.SH,0.25,0.8312515433789771,0.11409043112513162,-0.16541945647892864
2016-04-01,159915.SZ,513100.SH,0.25,0.8312515433789771,0.15856353591160222,-0.09651012494614397
2016-04-05,159915.SZ,513100.SH,0.25,0.8767372058460605,0.16999460334592564,-0.06591986212839296
2016-04-06,159915.SZ,513100.SH,0.25,0.8767372058460605,0.15519067796610186,-0.06031882809134004
2016-04-07,159915.SZ,510300.SH,0.25,0.8312515433789771,0.1607142857142856,-0.016506189821182904
2016-04-08,159915.SZ,513100.SH,0.25,0.8312515433789771,0.1580381471389647,-0.025676295277395678
2016-04-11,159915.SZ,513100.SH,0.25,0.8467124034496587,0.18320610687022887,-0.005043558000917048
2016-04-12,159915.SZ,513100.SH,0.25,0.811662352849203,0.12311688311688296,-0.008711600183402113
2016-04-13,159915.SZ,513100.SH,0.25,0.8531429148919547,0.15124272871496558,-0.0018340210912425325
2016-04-14,159915.SZ,513100.SH,0.25,0.8128420286772275,0.17784877529286502,0.0
2016-04-15,159915.SZ,513100.SH,0.25,0.8189443240120631,0.10246107483676536,-0.007685352622061603
2016-04-18,159915.SZ,513100.SH,0.25,0.8418425128923573,0.040462427745664664,-0.023508137432188048
2016-06-07,159915.SZ,510300.SH,0.25,0.823743200952191,0.0758974358974358,-0.051537070524412476
2016-09-08,159915.SZ,518880.SH,0.25,0.8008614678047468,0.055032226078334245,-0.028310502283104944
2016-09-09,159915.SZ,518880.SH,0.25,0.8074316650146538,0.036363636363636376,-0.03698630136986303
2016-09-23,513100.SH,518880.SH,0.25,0.9023992128550402,0.03866432337434089,0.0
2016-09-26,513100.SH,518880.SH,0.25,0.9224719771390275,0.029498525073746285,-0.01579244218838116
2016-09-27,513100.SH,518880.SH,0.25,0.8656148990551733,0.013537374926427148,-0.02876480541455162
2016-09-28,513100.SH,518880.SH,0.25,0.9023992128550402,0.017709563164108655,-0.027636773829667227
2016-10-11,513100.SH,159915.SZ,0.25,0.9224719771390275,0.02892561983471076,-0.016920473773265554
2016-10-12,513100.SH,159915.SZ,0.25,0.8769863146719441,0.021126760563380254,-0.0186125211505922
2016-10-19,513100.SH,510300.SH,0.25,0.9033492030179625,0.03853100541842269,-0.027072758037224975
2016-10-20,513100.SH,510300.SH,0.25,0.8341849055671942,0.028486646884273048,-0.022560631697687406
2017-01-10,513100.SH,518880.SH,0.25,0.818585845195264,0.021181716833890807,-0.017694369973190294
2017-03-08,513100.SH,510300.SH,0.25,0.8715088364719601,0.047114875595553274,-0.02079207920792081
2017-03-09,513100.SH,510300.SH,0.25,0.8354482246834345,0.04487856388595568,-0.020297029702970315
2017-03-10,513100.SH,510300.SH,0.25,0.8715088364719601,0.042864610559330885,-0.012376237623762387
2017-03-13,513100.SH,510300.SH,0.25,0.8715088364719601,0.04906054279749461,-0.004950495049505066
2017-03-15,513100.SH,518880.SH,0.25,0.8413286764288057,0.046656298600311175,-0.002962962962962834
2017-03-16,513100.SH,518880.SH,0.25,0.8413286764288057,0.05263157894736836,0.0
2017-03-21,513100.SH,518880.SH,0.25,0.824960834586137,0.052088705518308354,0.0
2017-03-29,513100.SH,518880.SH,0.25,0.95264273003263,0.022085259373394894,-0.02450980392156865
2017-03-31,513100.SH,518880.SH,0.25,0.8724446402221033,0.014661274014155845,-0.016176470588235237
2017-09-20,159915.SZ,510300.SH,0.25,0.8436613914431342,0.04892253931275481,-0.006618863761720939
2017-09-22,159915.SZ,510300.SH,0.25,0.8022651734299616,0.02901915264074284,-0.022062879205736352
2018-03-21,159915.SZ,510300.SH,0.25,0.8017813283539619,0.11039380245319563,-0.032076533483399006
2018-03-22,159915.SZ,518880.SH,0.25,0.8131527439707327,0.08291139240506329,-0.03714124929656715
2018-03-23,159915.SZ,518880.SH,0.25,0.8131527439707327,0.03180661577608146,-0.08722566122678665
2018-03-26,159915.SZ,518880.SH,0.25,0.8131527439707327,0.02638036809815958,-0.05852560495216652
2018-03-27,159915.SZ,518880.SH,0.25,0.8358955752042744,0.06040268456375841,-0.02194710185706239
2018-04-24,159915.SZ,513100.SH,0.25,0.8199077276997361,0.05117139334155363,-0.04801786711334444
2019-01-21,513100.SH,518880.SH,0.25,0.8159251853952615,0.052816901408450745,-0.07573415765069558
2019-02-18,159915.SZ,518880.SH,0.25,0.9260684406891732,0.1355648535564853,0.0
2019-02-21,159915.SZ,518880.SH,0.25,0.8830974875248916,0.1310517529215358,-0.0014738393515106862
2019-02-22,159915.SZ,518880.SH,0.25,0.8529173274817372,0.15625,0.0
2019-03-20,159915.SZ,513100.SH,0.25,0.9007265561232505,0.19658753709198806,-0.048938679245282946
2019-03-22,159915.SZ,513100.SH,0.25,0.8893551405064797,0.15291607396870566,-0.04422169811320753
2019-03-25,159915.SZ,513100.SH,0.25,0.8468677610964113,0.07104557640750686,-0.057783018867924474
2019-03-27,159915.SZ,510300.SH,0.25,0.8468677610964113,0.07544581618655699,-0.07547169811320753
2019-03-28,159915.SZ,518880.SH,0.25,0.8883483231391631,0.05850340136054433,-0.08254716981132071
2019-03-29,159915.SZ,513100.SH,0.25,0.9233983737396187,0.08266666666666667,-0.04245283018867918
2019-04-01,159915.SZ,518880.SH,0.25,0.9224625699894756,0.0886889460154241,-0.001179245283018826
2019-07-17,159915.SZ,513100.SH,0.25,0.8930628560497118,0.052928722653493354,-0.09356014580801941
2019-08-01,159915.SZ,513100.SH,0.25,0.8428809453397436,0.027100271002709952,-0.003942181340341633
2019-09-30,159915.SZ,510300.SH,0.25,0.8536977735851279,0.01355713363460298,-0.059880239520958
2019-11-05,159915.SZ,513100.SH,0.25,0.8866323446074158,0.05976863753213357,-0.012574850299401197
2019-12-10,159915.SZ,518880.SH,0.25,0.8508723489888209,0.03662321539416502,0.0
2019-12-16,159915.SZ,518880.SH,0.25,0.8529173274817372,0.057988895743368296,0.0
