date,trigger_value,threshold,time_trigger,days_since_rebalance_trade,confirmation_days
2013-01-04,1.0,0.5,False,0,1
2013-02-01,1.0,0.5,False,20,1
2013-03-01,1.0,0.5,False,35,1
2013-04-01,1.0,0.5,False,56,1
2013-05-02,1.0,0.5,False,74,1
2013-06-03,1.0,0.5,False,96,1
2013-07-01,1.0,0.5,False,113,1
2013-08-01,1.0,0.5,False,136,1
2013-09-02,1.0,0.5,False,158,1
2013-10-08,1.0,0.5,False,177,1
2013-11-01,1.0,0.5,False,195,1
2013-12-02,1.0,0.5,False,216,1
2014-01-02,1.0,0.5,False,238,1
2014-02-07,1.0,0.5,False,259,1
2014-03-03,1.0,0.5,False,275,1
2014-04-01,1.0,0.5,False,296,1
2014-05-05,1.0,0.5,False,317,1
2014-06-03,1.0,0.5,False,337,1
2014-07-01,1.0,0.5,False,357,1
2014-08-01,1.0,0.5,False,380,1
2014-09-01,1.0,0.5,False,401,1
2014-10-08,1.0,0.5,False,422,1
2014-11-03,1.0,0.5,False,440,1
2014-12-01,1.0,0.5,False,460,1
2015-01-05,1.0,0.5,False,483,1
2015-02-02,1.0,0.5,False,503,1
2015-03-02,1.0,0.5,False,518,1
2015-04-01,1.0,0.5,False,540,1
2015-05-04,1.0,0.5,False,561,1
2015-06-01,1.0,0.5,False,581,1
2015-07-01,1.0,0.5,False,602,1
2015-08-03,1.0,0.5,False,625,1
2015-09-01,1.0,0.5,False,646,1
2015-10-08,1.0,0.5,False,666,1
2015-11-02,1.0,0.5,False,683,1
2015-12-01,1.0,0.5,False,704,1
2016-01-04,1.0,0.5,False,727,1
2016-02-01,1.0,0.5,False,747,1
2016-03-01,1.0,0.5,False,763,1
2016-04-01,1.0,0.5,False,786,1
2016-05-03,1.0,0.5,False,806,1
2016-06-01,1.0,0.5,False,827,1
2016-07-01,1.0,0.5,False,847,1
2016-08-01,1.0,0.5,False,868,1
2016-09-01,1.0,0.5,False,891,1
2016-10-10,1.0,0.5,False,911,1
2016-11-01,1.0,0.5,False,927,1
2016-12-01,1.0,0.5,False,949,1
2017-01-03,1.0,0.5,False,971,1
2017-02-03,1.0,0.5,False,989,1
2017-03-01,1.0,0.5,False,1007,1
2017-04-05,1.0,0.5,False,1030,1
2017-05-02,1.0,0.5,False,1048,1
2017-06-01,1.0,0.5,False,1068,1
2017-07-03,1.0,0.5,False,1090,1
2017-08-01,1.0,0.5,False,1111,1
2017-09-01,1.0,0.5,False,1134,1
2017-10-09,1.0,0.5,False,20,1
2017-11-01,1.0,0.5,False,16,1
2017-12-01,1.0,0.5,False,38,1
2018-01-02,1.0,0.5,False,59,1
2018-02-01,1.0,0.5,False,81,1
2018-03-01,1.0,0.5,False,96,1
2018-04-02,1.0,0.5,False,21,1
2018-05-02,1.0,0.5,False,17,1
2018-06-01,1.0,0.5,False,39,1
2018-07-02,1.0,0.5,False,59,1
2018-08-01,1.0,0.5,False,81,1
2018-09-03,1.0,0.5,False,22,1
2018-10-08,1.0,0.5,False,18,1
2018-11-01,1.0,0.5,False,36,1
2018-12-03,1.0,0.5,False,21,1
2019-01-02,1.0,0.5,False,41,1
2019-02-01,1.0,0.5,False,63,1
2019-03-01,1.0,0.5,False,14,1
2019-04-01,1.0,0.5,False,20,1
2019-05-06,1.0,0.5,False,20,1
2019-06-03,1.0,0.5,False,19,1
2019-07-01,1.0,0.5,False,18,1
2019-08-01,1.0,0.5,False,22,1
2019-09-02,1.0,0.5,False,21,1
2019-10-08,1.0,0.5,False,19,1
2019-11-01,1.0,0.5,False,17,1
2019-12-02,1.0,0.5,False,38,1
2020-01-02,1.0,0.5,False,21,1
2020-02-03,1.0,0.5,False,15,1
2020-03-02,1.0,0.5,False,19,1
2020-04-01,1.0,0.5,False,21,1
2020-05-06,1.0,0.5,False,20,1
2020-06-01,1.0,0.5,False,17,1
2020-07-01,1.0,0.5,False,19,1
2020-08-03,1.0,0.5,False,42,1
2020-09-01,1.0,0.5,False,20,1
2020-10-09,1.0,0.5,False,42,1
2020-11-02,1.0,0.5,False,15,1
2020-12-01,1.0,0.5,False,20,1
2021-01-04,1.0,0.5,False,22,1
2021-02-01,1.0,0.5,False,19,1
2021-03-01,1.0,0.5,False,14,1
2021-04-01,1.0,0.5,False,22,1
2021-05-06,1.0,0.5,False,20,1
2021-06-01,1.0,0.5,False,17,1
2021-07-01,1.0,0.5,False,20,1
2021-08-02,1.0,0.5,False,21,1
2021-09-01,1.0,0.5,False,21,1
2021-10-08,1.0,0.5,False,19,1
2021-11-01,1.0,0.5,False,15,1
2021-12-01,1.0,0.5,False,21,1
2022-01-04,1.0,0.5,False,22,1
2022-02-07,1.0,0.5,False,18,1
2022-03-01,1.0,0.5,False,15,1
2022-04-01,1.0,0.5,False,22,1
2022-05-05,1.0,0.5,False,18,1
2022-06-01,1.0,0.5,False,18,1
2022-07-01,1.0,0.5,False,20,1
2022-08-01,1.0,0.5,False,20,1
2022-09-01,1.0,0.5,False,22,1
2022-10-10,1.0,0.5,False,20,1
2022-11-01,1.0,0.5,False,15,1
2022-12-01,1.0,0.5,False,21,1
2023-01-03,1.0,0.5,False,21,1
2023-02-01,1.0,0.5,False,15,1
2023-03-01,1.0,0.5,False,19,1
2023-04-03,1.0,0.5,False,22,1
2023-05-04,1.0,0.5,False,18,1
2023-06-01,1.0,0.5,False,19,1
2023-07-03,1.0,0.5,False,19,1
2023-08-01,1.0,0.5,False,20,1
2023-09-01,1.0,0.5,False,22,1
2023-10-09,1.0,0.5,False,19,1
2023-11-01,1.0,0.5,False,16,1
2023-12-01,1.0,0.5,False,21,1
2024-01-02,1.0,0.5,False,20,1
2024-02-01,1.0,0.5,False,21,1
2024-03-01,1.0,0.5,False,14,1
2024-04-01,1.0,0.5,False,20,1
2024-05-06,1.0,0.5,False,19,1
2024-06-03,1.0,0.5,False,19,1
2024-07-01,1.0,0.5,False,38,1
2024-08-01,1.0,0.5,False,22,1
2024-09-02,1.0,0.5,False,21,1
2024-10-08,1.0,0.5,False,18,1
2024-11-01,1.0,0.5,False,17,1
2024-12-02,1.0,0.5,False,20,1
2025-01-02,1.0,0.5,False,21,1
2025-02-05,1.0,0.5,False,17,1
2025-03-03,1.0,0.5,False,17,1
2025-04-01,1.0,0.5,False,20,1
2025-05-06,1.0,0.5,False,20,1
2025-06-03,1.0,0.5,False,18,1
2025-07-01,1.0,0.5,False,19,1
2025-08-01,1.0,0.5,False,22,1
2025-09-01,1.0,0.5,False,20,1
2025-10-09,1.0,0.5,False,21,1
2025-11-03,1.0,0.5,False,16,1
2025-12-01,1.0,0.5,False,19,1
2026-01-05,1.0,0.5,False,22,1
2026-02-02,1.0,0.5,False,19,1
2026-03-02,1.0,0.5,False,13,1
2026-04-01,1.0,0.5,False,21,1
2026-05-06,1.0,0.5,False,20,1
2026-06-01,1.0,0.5,False,17,1
2026-07-01,1.0,0.5,False,20,1
2026-08-03,1.0,0.5,False,22,1
